t90	t90_error
13.312	 4.222
13.312	 1.557
13.376	 0.410
13.440	 0.871
13.568	 6.676
13.568	 6.420
13.568	 3.899
13.568	 7.030
13.568	 5.910
13.568	 2.202
13.568	 2.611
13.568	 1.557
13.568	 1.846
13.568	 0.572
13.568	 0.362
13.568	 2.187
13.568	 1.145
13.568	 0.362
13.568	 0.572
13.568	 6.023
13.568	 1.846
13.568	 0.724
13.568	 3.874
13.760	 0.286
13.760	 1.229
13.760	 1.639
13.760	 5.253
13.760	 2.064
13.824	 5.278
13.824	 4.579
13.824	 4.222
13.824	 1.379
13.824	 1.864
13.824	 4.672
13.824	 6.661
13.824	 3.435
13.824	 2.064
13.824	 5.152
13.824	 2.111
13.824	 3.328
13.824	 0.572
13.824	 1.379
13.824	 0.724
13.824	 3.083
13.824	 1.305
13.886	 0.831
14.016	 1.145
14.077	 3.114
14.080	 0.923
14.080	 1.280
14.080	 5.126
14.080	 1.379
14.144	 0.264
14.333	 1.305
14.336	 3.482
14.336	 2.896
14.336	 1.448
14.336	 4.007
14.336	 3.238
14.336	 8.039
14.336	 1.846
14.336	 4.810
14.336	 0.362
14.336	 5.684
14.336	 2.721
14.336	 0.923
14.336	 1.086
14.336	 6.557
14.336	 4.007
14.336	 2.360
14.336	 7.907
14.464	 3.093
14.464	 1.094
14.592	 3.999
14.592	 1.557
14.592	 4.404
14.592	 1.950
14.592	 2.172
14.592	 3.338
14.592	 3.916
14.592	 1.448
14.592	16.147
14.848	 1.145
14.848	 1.846
14.848	 4.136
14.848	 3.114
14.848	 2.290
14.848	 2.202
14.848	 3.328
14.848	 3.665
14.848	 1.379
14.848	 7.141
14.909	 1.072
14.912	 1.619
15.040	 0.462
15.104	 0.923
15.104	 1.379
15.104	 4.558
15.104	 5.030
15.104	 3.238
15.104	 1.493
15.104	 5.049
15.104	 4.536
15.104	 2.769
15.104	 1.619
15.104	 0.572
15.104	 0.362
15.104	 1.864
15.296	 4.610
15.360	 3.083
15.360	 0.362
15.360	 1.619
15.360	 3.874
15.360	 2.187
15.360	 3.665
15.360	 1.639
15.360	 1.448
15.360	 6.557
15.360	 0.572
15.360	 2.862
15.552	 1.866
15.552	 4.580
15.613	 0.722
15.613	 3.593
15.616	 6.992
15.616	 2.757
15.616	 5.894
15.616	 3.874
15.616	 3.167
15.616	 2.611
15.616	 0.810
15.616	 0.362
15.616	 2.429
15.677	 0.627
15.680	 1.032
15.808	 0.572
15.872	 5.838
15.872	 2.187
15.872	 1.846
15.872	 3.727
15.872	 0.923
15.872	 0.362
15.872	 0.810
15.872	 0.572
15.872	 0.362
16.000	14.017
16.000	 2.561
16.064	 3.649
16.128	 8.975
16.128	17.887
16.128	 2.360
16.128	 3.338
16.128	 5.146
16.128	 2.187
16.128	 5.152
16.128	 0.572
16.128	 2.415
16.128	 3.208
16.128	 4.382
16.189	 0.831
16.189	 0.831
16.384	 2.769
16.384	 4.128
16.384	 4.700
16.384	 6.149
16.384	10.367
16.384	 1.717
16.384	 0.362
16.384	 5.177
16.384	 2.896
16.445	 0.602
16.448	 1.159
16.512	 0.689
16.512	 1.810
16.512	 2.226
16.640	 2.828
16.640	 3.328
16.640	 1.056
16.701	 1.881
16.896	 3.974
16.896	 2.673
16.896	 6.339
16.896	 5.684
16.896	 6.085
16.896	 7.832
16.896	 6.562
16.896	 3.278
16.896	 1.379
16.896	 2.919
16.896	 1.305
16.896	 2.919
17.149	 1.493
17.152	 0.572
17.152	 2.111
17.152	 0.923
17.152	 4.048
17.152	 0.466
17.152	 3.727
17.152	 6.676
17.152	 2.064
17.152	 9.073
17.152	 2.360
17.152	 1.999
17.152	 2.828
17.152	 0.572
17.152	 2.111
17.152	 4.352
17.152	 1.846
17.344	 1.385
17.344	 0.923
17.374	 0.799
17.405	 7.684
17.408	 6.276
17.408	 2.064
17.408	 3.435
17.408	 2.415
17.408	 8.838
17.408	 1.379
17.408	 1.448
17.408	 6.229
17.408	 1.999
17.408	 0.810
17.408	 1.810
